/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-4.826032E-01 -5.993695E-01
-4.925877E-01 -6.009293E-01
-5.026785E-01 -6.014879E-01
-5.127757E-01 -6.010429E-01
-5.227798E-01 -5.996017E-01
-5.325937E-01 -5.971813E-01
-5.421227E-01 -5.938084E-01
-5.512762E-01 -5.895181E-01
-5.599676E-01 -5.843545E-01
-5.681157E-01 -5.783694E-01
-5.756451E-01 -5.716217E-01
-5.824873E-01 -5.641773E-01
-5.885805E-01 -5.561078E-01
-5.938707E-01 -5.474898E-01
-5.983116E-01 -5.384044E-01
-6.018654E-01 -5.289362E-01
-6.045026E-01 -5.191722E-01
-6.062021E-01 -5.092019E-01
-6.069520E-01 -4.991151E-01
-6.067485E-01 -4.890020E-01
-6.055964E-01 -4.789523E-01
-6.035091E-01 -4.690539E-01
-6.005077E-01 -4.593928E-01
-5.966212E-01 -4.500522E-01
-5.918861E-01 -4.411112E-01
-5.863456E-01 -4.326451E-01
-5.800495E-01 -4.247243E-01
-5.730534E-01 -4.174139E-01
-5.654182E-01 -4.107729E-01
-5.572094E-01 -4.048545E-01
-5.484974E-01 -3.997054E-01
-5.393549E-01 -3.953650E-01
-5.298582E-01 -3.918662E-01
-5.200852E-01 -3.892342E-01
-5.101155E-01 -3.874875E-01
-5.000294E-01 -3.866368E-01
-4.899072E-01 -3.866858E-01
-4.798287E-01 -3.876312E-01
-4.698727E-01 -3.894623E-01
-4.601159E-01 -3.921619E-01
-4.506329E-01 -3.957061E-01
-4.414952E-01 -4.000649E-01
-4.327709E-01 -4.052024E-01
-4.245248E-01 -4.110769E-01
-4.168166E-01 -4.176419E-01
-4.097018E-01 -4.248461E-01
-4.032307E-01 -4.326340E-01
-3.974485E-01 -4.409465E-01
-3.923947E-01 -4.497213E-01
-3.881031E-01 -4.588933E-01
-3.846018E-01 -4.683954E-01
-3.819128E-01 -4.781587E-01
-3.800521E-01 -4.881133E-01
-3.790296E-01 -4.981889E-01
-3.788494E-01 -5.083150E-01
-3.795096E-01 -5.184212E-01
-3.810026E-01 -5.284384E-01
-3.833150E-01 -5.382990E-01
-3.864281E-01 -5.479369E-01
-3.903182E-01 -5.572885E-01
-3.949563E-01 -5.662927E-01
-4.003090E-01 -5.748914E-01
-4.063387E-01 -5.830300E-01
-4.130034E-01 -5.906574E-01
-4.202579E-01 -5.977263E-01
-4.280534E-01 -6.041939E-01
-4.363384E-01 -6.100213E-01
-4.450591E-01 -6.151747E-01
-4.541589E-01 -6.196241E-01
-4.635801E-01 -6.233450E-01
-4.732635E-01 -6.263174E-01
-4.831492E-01 -6.285262E-01
-4.931765E-01 -6.299611E-01
-5.032847E-01 -6.306166E-01
-5.134133E-01 -6.304920E-01
-5.235025E-01 -6.295911E-01
